title_ko,title_en,author,style,upload_date
,The Good Son: Jeong You-jeong,,summary+video,2026-02-13
이처럼 사소한 것들: 클레어 키건,Small Things Like These,,summary+video,2026-02-12
,Small Things Like These: Claire Keegan,,summary+video,2026-02-12
,World Short Stories: The Happy Prince & More,,summary+video,2026-02-11
쇼펜하우어의 아포리즘: 아르투어 쇼펜하우어,소품과 부록,,summary+video,2026-02-11
"세계의 단편: 귀여운 여인, 행복한 왕자 外",예언한 미래가 현실이 되었다,,summary+video,2026-02-11
,Aphorisms on the Wisdom of Life: Arthur Schopenhauer,,summary+video,2026-02-11
모비딕,Moby-Dick,Herman Melville,ildangbaek,2026-02-10
,The Shift: Wayne Dyer,,summary+video,2026-02-10
목민심서,Mokminsimseo,정약용,ildangbaek,2026-02-09
,The Midnight Library: Matt Haig,,summary+video,2026-02-08
금병매,Jin Ping Mei,난릉 소소생,ildangbaek,2026-02-08
미드나잇 라이브러리: 매트 헤이그,The Midnight Library,,summary+video,2026-02-08
나는 고양이로소이다,I_Am_a_Cat,Natsume Soseki,ildangbaek,2026-02-07
까르마조프가의 형제들: 도스토옙스키,The Brothers Karamazov,,summary+video,2026-02-07
,The Brothers Karamazov: Fyodor Dostoevsky,,summary+video,2026-02-07
,No Longer Human: Osamu Dazai,,summary+video,2026-02-06
데미안,Demian,Hermann Hesse,ildangbaek,2026-02-06
인간 실격: 다자이 오사무,No Longer Human,,summary+video,2026-02-06
도둑맞은 집중력: 요한 하리,Stolen Focus,,summary+video,2026-02-05
,Stolen Focus: Johann Hari,,summary+video,2026-02-05
예루살렘의 아이히만,Eichmann in Jerusalem,Hannah Arendt,ildangbaek,2026-02-05
열하일기,Yolha Ilgi,Park Jiwon,ildangbaek,2026-02-04
,Why Fish Don't Exist: Lulu Miller,,summary+video,2026-02-04
물고기는 존재하지 않는다: 룰루 밀러,Why Fish Don't Exist,,summary+video,2026-02-04
,The Singularity Is Near: Ray Kurzweil,,summary+video,2026-02-03
걸리버 여행기,Gulliver's Travels,Jonathan Swift,ildangbaek,2026-02-03
특이점이 온다: 레이 커즈와일,The Singularity Is Near,,summary+video,2026-02-03
이방인,The Stranger,알베르 카뮈,ildangbaek,2026-02-02
,Dopamine Nation: Anna Lembke,,summary+video,2026-02-02
도파민네이션: 애나 렘키,Dopamine Nation,,summary+video,2026-02-02
노인과 바다: 어니스트 헤밍웨이,The Old Man and the Sea,,summary+video,2026-02-01
,The Old Man and the Sea: Ernest Hemingway,,summary+video,2026-02-01
,Poe Horror Stories & Songryeong,,ildangbaek,2026-02-01
프로테스탄티즘의 윤리와 자본주의 정신 | [Korean] Protestant Ethic & Capitalism,,,ildangbaek,2026-01-31
,Protestant Ethic & Capitalism,,ildangbaek,2026-01-31
오다세이아,,,ildangbaek,2026-01-30
,The Odyssey,,ildangbaek,2026-01-30
슬픈 열대,,,ildangbaek,2026-01-29
,Tristes Tropiques,,ildangbaek,2026-01-29
햄릿 & 로미오와 줄리엣,,,ildangbaek,2026-01-28
,Hamlet & Romeo and Juliet,,ildangbaek,2026-01-28
"안데르센,그림 형제,페로 동화",,,ildangbaek,2026-01-27
,"Andersen, Grimm Brothers, Perrault Fairy Tales",,ildangbaek,2026-01-27
,Norwegian Wood,,ildangbaek,2026-01-26
상실의 시대,,,ildangbaek,2026-01-26
,Ilyeon's Samguk Yusa,,ildangbaek,2026-01-25
일연 삼국유사,,,ildangbaek,2026-01-25
과학혁명의 구조,,,ildangbaek,2026-01-24
,The_Structure_of_Scientific_Revolutions,,ildangbaek,2026-01-24
,The Square,,ildangbaek,2026-01-23
광장,,,ildangbaek,2026-01-23
파리대왕,,,ildangbaek,2026-01-22
,Lord of the Flies,,ildangbaek,2026-01-22
무기여 잘 있거라,,,ildangbaek,2026-01-21
,A Farewell to Arms,,ildangbaek,2026-01-21
,Good_Morning_Midnight,,ildangbaek,2026-01-20
,Cosmos,,ildangbaek,2026-01-20
코스모스,,,ildangbaek,2026-01-20
굿모닝 미드나잇,,,ildangbaek,2026-01-20
싯다르타,,,ildangbaek,2026-01-19
,Siddhartha,,ildangbaek,2026-01-19
,Stoner,,ildangbaek,2026-01-18
스토너,,,ildangbaek,2026-01-18
,Essays,,ildangbaek,2026-01-17
몽테뉴 수상록,,,ildangbaek,2026-01-17
,Jane Eyre,,ildangbaek,2026-01-16
제인 에어,,,ildangbaek,2026-01-16
차라투스트라는 이렇게 말했다,,,ildangbaek,2026-01-12
,Thus Spoke Zarathustra,,ildangbaek,2026-01-12
젊은 베르테르의 슬픔,,,ildangbaek,2026-01-11
,The Sorrows of Young Werther,,ildangbaek,2026-01-11
,Frankenstein,,ildangbaek,2026-01-10
프랑켄슈타인,,,ildangbaek,2026-01-10
설국,,,ildangbaek,2026-01-09
,Snow Country,,ildangbaek,2026-01-09
,No Excuses!: The Power of Self-Discipline,,ildangbaek,2026-01-08
행동하지 않으면 인생은 바뀌지 않는다,,,ildangbaek,2026-01-08
,"Thinking, Fast and Slow",,ildangbaek,2026-01-07
랜덤워크에 속지 마라,,,ildangbaek,2026-01-06
,Fooled by Randomness,,ildangbaek,2026-01-06
,Meditations,,ildangbaek,2026-01-05
명상록,,,ildangbaek,2026-01-05
,The Almanack of Naval Ravikant,,ildangbaek,2026-01-04
네이벌 라비칸트 연감,,,ildangbaek,2026-01-04
