title,author,category,season,episode,source,status,video_created,youtube_uploaded,notes,added_at
분노의 포도,존 스타인벡,masterpiece,,,노벨문학상,not_processed,,,,
파리의 아파트,줄리언 반스,masterpiece,,,영국문학,not_processed,,,,
노르웨이의 숲,무라카미 하루키,masterpiece,,,일본문학,not_processed,,,,
1Q84,무라카미 하루키,masterpiece,,,일본문학,not_processed,,,,
해변의 카프카,무라카미 하루키,masterpiece,,,일본문학,not_processed,,,,
춘향전,작자미상,masterpiece,,,한국문학,not_processed,,,,
홍길동전,허균,masterpiece,,,한국문학,not_processed,,,,
구운몽,김만중,masterpiece,,,한국문학,not_processed,,,,
사씨남정기,김만중,masterpiece,,,한국문학,not_processed,,,,
토지,박경리,masterpiece,,,한국문학,not_processed,,,,
태백산맥,조정래,masterpiece,,,한국문학,not_processed,,,,
아리랑,조정래,masterpiece,,,한국문학,not_processed,,,,
임꺽정,김동인,masterpiece,,,한국문학,not_processed,,,,
상록수,심훈,masterpiece,,,한국문학,not_processed,,,,
무정,이광수,masterpiece,,,한국문학,not_processed,,,,
삼대,염상섭,masterpiece,,,한국문학,not_processed,,,,
태평천하,채만식,masterpiece,,,한국문학,not_processed,,,,
날개,이상,masterpiece,,,한국문학,not_processed,,,,
광장,최인훈,masterpiece,,,한국문학,not_processed,,,,
서울 1964년 겨울,김승옥,masterpiece,,,한국문학,not_processed,,,,
무진기행,김승옥,masterpiece,,,한국문학,not_processed,,,,
엄마를 부탁해,신경숙,masterpiece,,,한국문학,not_processed,,,,
외딴방,은희경,masterpiece,,,한국문학,not_processed,,,,
채식주의자,한강,masterpiece,,,한국문학,not_processed,,,,
소년이 온다,한강,masterpiece,,,한국문학,not_processed,,,,
하버드 추천 도서,다양한 저자,university,,,하버드,not_processed,,,,
연세대 추천 도서,다양한 저자,university,,,연세대,not_processed,,,,
고려대 추천 도서,다양한 저자,university,,,고려대,not_processed,,,,
서강대 추천 도서,다양한 저자,university,,,서강대,not_processed,,,,
이화여대 추천 도서,다양한 저자,university,,,이화여대,not_processed,,,,
한국사,다양한 저자,university,,,대학 교양,not_processed,,,,
서양사,다양한 저자,university,,,대학 교양,not_processed,,,,
동양사,다양한 저자,university,,,대학 교양,not_processed,,,,
철학의 이해,다양한 저자,university,,,대학 교양,not_processed,,,,
문학의 이해,다양한 저자,university,,,대학 교양,not_processed,,,,
예술의 이해,다양한 저자,university,,,대학 교양,not_processed,,,,
과학의 이해,다양한 저자,university,,,대학 교양,not_processed,,,,
경제학 원론,다양한 저자,university,,,대학 교양,not_processed,,,,
심리학 개론,다양한 저자,university,,,대학 교양,not_processed,,,,
사회학 개론,다양한 저자,university,,,대학 교양,not_processed,,,,
정치학 개론,다양한 저자,university,,,대학 교양,not_processed,,,,
법학 개론,다양한 저자,university,,,대학 교양,not_processed,,,,
